n,mae,rmse,r2,bias,station_id,idw_power,idw_blend
16275,0.5123092684141156,0.652565333794867,0.5706359272717274,0.09886113982162495,site_1554,1.0,1.0
16275,0.5547670435532304,0.7386912155000023,0.4003317308156229,-0.01019132464221533,site_5678,1.0,1.0
16275,0.5908783903984437,0.7584253323960298,0.46105668216573714,0.09294080691111829,site_1553,1.0,1.0
16275,0.5477811787824123,0.7621717616951373,0.3514174639181672,-0.04696652719391324,site_162,1.0,1.0
16275,0.56529836776157,0.7867437099913501,0.3539722559344918,-0.006502922476379986,site_5729,1.0,1.0
16275,0.5604466338344923,0.7922743414336139,0.3046209040736937,0.01304738845804639,site_5686,1.0,1.0
16275,0.6469906767747123,0.8122157642600623,0.3166910472864315,0.05455518298405367,site_1555,1.0,1.0
16275,0.6638092600964118,0.8651020603845195,0.23294781687882327,-0.11538772108317238,site_163,1.0,1.0
16275,0.7330758996224825,0.9197017045189719,0.06214813849652634,0.08282413508881016,site_5681,1.0,1.0
16275,0.8192496232054538,1.0310472072395716,-0.02438272272020492,-0.031901686436792705,site_1558,1.0,1.0
16275,0.7961893533442138,1.0740381068927525,-0.20384577939347692,-0.09642184153861383,site_166,1.0,1.0
16275,0.8975450589747528,1.0928602931128764,-0.3083292306618748,-0.08958524132195018,site_165,1.0,1.0
